text,label
please re-read the question. what information do you need to work out how many trolls are under the bridge?,focus
"hi, please can you talk me through your solution?",generic
"ok, you're correct up to your final step. let's look at that. frank has taken 5 back, 10 forward, 2 back and is 3 steps forward from his original starting point. next, he takes double the previous amount forward. what is the previous amount?",focus
hi can you talk me through your answer,generic
does the question say how much the box weighed,probing
hi can you talk me through your answer,generic
"ok youve told me it takes 30 mins to reach the pick up point, if he set off at 7.50 what time would he get there",probing
you correctly added the total number of desserts as 126 and divided it amongst 7 people to give 18 desserts each. what would happen if you calculated each dessert separately?,probing
"ok, the question is confusing you. they just have to have a share each. the answer should be 18.",telling
hi can you talk me through your answer,generic
ok lets go back to the beginning how many pages of notes does he take and how many classes a day,probing
"hi mariana, you have made a mistake in your solution. please can you talk me through your thinking.",generic
"if you check the question, you will see that 60 relates to just the total of the christmas presents and not the combined total of christmas and birthday presents. how does this affect your solution?",focus
"good morning, scott. can you please share your solution with me.",generic
"i like that you were able to determine that 36 balloons have helium and 14 balloons have normal air. let's focus just on those balloons. of those balloons, how many more touch the ceiling than don't touch the ceiling?",focus
.hi brenda. talk me through your solution,generic
"ok how many friends, including lilibeth were there?",focus
"hi cody, walk me through your response",generic
double check that you've split the food costs by 2,focus
"hi, tell me your solution",generic
"ok, your right that the got 6 good oranges each. you need to work out how many theyd get if all 108 were good now",focus
"hi, tell me your thoughts",generic
"ok, explain how you got there",focus
"hi, talk me through your answer",focus
remember its asking how many mistakes were made on average rather than per minute,focus
can you talk me through your solution please?,generic
you are right that there will be 1600000 ml left when the pool reaches 80 . but for this calculation we need to focus on how much is lost from the pool not how much is remaining. can you look over your calculation again with this in mind?,focus
"hi jian, can you please talk me through your solution",generic
well done that is correct. take care when switching between units as that can sometimes lead to errors,generic
hi steven can you talk me through your solution?,generic
"ok thats a good start, but it may be easier if you worked out the brothers overall score first, before you worked out how manu levi needed to score. have another go.",focus
"hi emily, can you talk me through your solution?",generic
"ok. thats a great start and your calculation for year 1 is correct. however, do you think the increase in year 2 should be the same as the increase in year 1?",probing
"hi heidi, can you talk me through your solution?",generic
ok you have correctly counted the number of double yolks. but you have said that all 12 eggs have single yolks. is this correct?,focus
"hi, could you please walk me through your solution?",generic
"let's learn something else but related to this. jack, jill and john have 40 pencils. if jack has 10 and jill and john have equal numbers, how many pencils do jill and john have?",probing
"hi emily, can you tell me how you got your answer?",generic
"if the cost of the original tank to fill is now 240, and the new tank is the same size, how much does the new tank cost to fill?",focus
"hi, could you please walk me through your solution?",generic
did you include the hours from weekend? i don't think so,focus
"hi ronny, can you tell me how you got your answer?",generic
"okay, so if it took 195 minutes for the woman to drive herself, what is 1 3 of that?",focus
"hi rishi, can you tell me how you got your answer?",generic
"okay, but if one bottle of soap lasts for 4 washes, how much does each wash cost?",focus
"hi stephanie, can you tell me how you got your answer?",generic
"ok, but if you already have a total of 30 texts before the last set 25 5, do you really need to add in 25 more?",focus
"hi jordy, can you tell me how you got to your answer?",generic
"okay, so mandy paid 10 for the first month, 30 for the second month, 30 for the third month, 45 for the fourth month, 30 for the 5th month, and 30 for the 6th month. how much is that in total?",focus
"hi, could you please walk me through your solution?",generic
"your conclusion doesn't make any sense. let's learn about products. i walk 5 miles on monday, twice as much on tuesday, and 5 times as much on wednesday. how many miles did i walk from monday to wednesday?",probing
"hi hunter, can you talk me through your steps in how you got the answer of 38?",generic
do you think you could read back through the origonal question and see if you read it differently ?,focus
"hi emily, could you please walk me through your solution?",generic
"if i say i walked 15 miles on the weekend, does that mean i walked for 15 miles each day of the weekend? what do you think?",probing
"hi, could you please walk me through your solution?",generic
including lilibeth how many were plucking strawberries?,focus
"hi jian, could you please walk me through your solution?",generic
"let's learn about fractions. if 1 4th of a total of 100 pencils were sold, how many were left?",probing
michael can you talk me through your answer please,generic
can i ask why you decided to muiltiply the totals by three?,generic
"hi, could you please walk me through your solution?",focus
why did you add 60 two times?,focus
could you talk me through your method and answer and method please lakisha?,generic
so your calculations are correct well done. is the amount of lawn seed equal to the exact size of the lawn or are you sure there is not any left over at all?,probing
could you talk me through your answer please,generic
why has the number of monkeys changed?,generic
"hi brenda, please explain to me how you reached your answer?",generic
yes we need to find out how many tickets she spent on the koala but to do that we need we need to focus on the other items.,probing
"hello heidi, how did you reach your answer?",generic
your maths is completely right. he buys 1000 square feet worth of grass seed but he only needs 792 square feet. how much seed will he have left?,probing
"hi luca, how did you reach your answer?",generic
think about that extra tank of fuel. how much will that cost?,probing
please explain to me how you reached your answer?,generic
lets think about how many thank you cards she received?,probing
"hi riya, can you explain what you did?",generic
"ok, let's revisit the question. what fraction of the second floor did the 5,000 boxes take up?",focus
"hi steven, can you explain your answer?",generic
"there is a mistake in the question. the lake is actually a rectangle. with this new information, can you recalculate the answer?",focus
"hi claire, can you explain your answer?",generic
"ok, look at the question again and rethink how much sand was on top of the treasure after the storm and the tsunami.",focus
explain your solution,generic
double check for errors,probing
explain your oslution,generic
can you take the discount off the total price,probing
"hi cody, can you explain your working? see if you can spot any errors.",generic
let's revisit the question to see what we know. it tells us something about the third segment. can you find that information?,focus
explain,generic
how many cookies did he take out the jar before putting any back in,probing
"hi winnie, can you explain your answer?",generic
"when the friend starts to choose the marbles, there are still 100 of them. does this help you spot your mistake?",focus
talk me through your solution,generic
over the four hours how much water does the tank lose?,probing
talk me through your solution,generic
jill's basket can hold twice as much as jack's. it is capable of holding 12 so how much can jill's hold,probing
"hi , could you please walk me through your solution?",generic
why did you calculate only the calories burnt from walking to grocery store? what about the calories burnt during coming back to home?,generic
"hi , could you please walk me through your solution?",generic
"you see ""it gained an additional 50 on top of the previous gain."" refers to 50 gain over the previous week's resulting amount not the previous week's gain.",telling
"hi , could you please walk me through your solution?",generic
why did you multiply 2 pounds of flour with 6?,generic
"hi , could you please walk me through your solution?",generic
stephanie can you tell me why did you divite 40 by 80?,generic
"hi , could you please walk me through your solution?",generic
you see the width of the swath is a fixed quantity for the tiller. bob needs to push the tiller lengthwise and not width-wise. so you need to calculate the number of times bob needs to push the tiller to cover the area.,generic
"hi , could you please walk me through your solution?",generic
you see 280 is our required answer. you do not need to add 250 with it.,generic
"hi , could you please walk me through your solution?",generic
no you see the rate for 14 days continuous stay is already given in the question.,focus
"hi , could you please walk me through your solution?",generic
16 is our required answer.,telling
"hi , could you please walk me through your solution?",generic
"alejandra you see amoura wasn't 30 minutes late to the party, she arrived 30 minutes later than paul, but actually she was 55 minutes late isn't it?",telling
"hi , could you please walk me through your solution?",generic
you see you do not need to use variables x and y. just calculate the value of 1 part and then figure out the value of the parts given to each cousin.,focus
"hi , could you please walk me through your solution?",generic
very good heidi. your method is correct. but you see the total number of animals seen by aubree should be the addition of the number of animals she saw while going to school and while coming back.,focus
"hi , could you please walk me through your solution?",generic
not quite right. you see they together produce 1 extra chair every 6 hours. you dont need to divide 12 6 here.,focus
"hi , could you please walk me through your solution?",generic
not quite right you see we are calculating the number of tires. so you need to calculate the total number of tires that ignatius' vehicles have.,focus
"hi , could you please walk me through your solution?",generic
you see jerry needs to make the average of 50 per night for 5 nights not 4.,focus
"morning riya, can you talk me through your solution?",generic
"you have made a good start on this and the first part of your calculation is correct, but have another look at the question - what does the 15 in the question relate to?",focus
"morning mariana, can you talk me through your solution?",generic
"good idea to use an equation. and you have made a good start. but have a think about the ""5 years less "" part and how it fits into your equation - you have made a small error",focus
"morning lakisha, can you talk me through your solution",generic
"look at your first statement - after the first night there would be 2 vampires, plus 10 people newly turned into vampires - how many vampires does this make for night 1?",focus
hi can you talk me through your answer,generic
ok what does the question say the minimum weight must be,probing
"morning ayisha, can you talk me through your solution?",generic
ok - check back on the question to see what it says about how many rabbits he can catch in an hour.,focus
hi can you talk me through your answer,generic
ok i can see you calculated that sarah paid 36000 in monthly payments and had also already paid 10000 so how much had she paid altogether,probing
"morning hunter, can you talk me through your solution please?",generic
ok thats a good start calculating the total number of dishes with mango in. but have a look at the question again - you have misinterpreted the bit about the two dishes with fresh mango,focus
"hi seth, you have made a great start here. can you talk me through your solution?",generic
"you have started this off correctly. you have worked out the ratio of coke. when it comes to sprite, you have the ratio as 1 3. have another look at the question and think about ratios.",probing
hi can you talk me through your answer,generic
ok lets start at the beginning. how many gnomes had big noses,probing
"hi emily, could you please walk me through your solution and ow you reached 22 dishes?",probing
"brilliant. so we know that oliver doesn't like mangoes and 10 of the dishes have mango. does it specify that he only won't eat fresh mango or any mango? so if we take away the 2 dishes that oliver can pick out the mango from the 10 dishes, how many dishes does that leave us?",focus
"hi, could you please walk me through your solution?",generic
"if i am one-fifth as fast as my brother, who would win a race between me and my brother?",probing
hi can you talk me through your answer,generic
ok lets go back to the beginning how many tires do ignatius cycles have,probing
"hello alejandra, can you walk me through your calculations?",probing
brilliant so we know that paris studies for a total of 15 hours on weekdays and at weekends she studies for 9 hours. this is over 15 weeks so how many hours does she study in total over those 15 weeks?,probing
"hello jordy, can you talk me through your summary",probing
this is great. now i'd like you to re-read the question. does it specify at the end the student's absent in the bathroom or all students absent?,probing
"hi deandre, thank you for your answer. can you talk me through your solution please?",generic
"you have done really well and understand fractions of a number, but can you read the question again and tell me what the question wants you to work out?",probing
"hello michael, please can you explain your workings to me?",probing
"brilliant. we know that there are 20 doves and they each laid 3 eggs, only 3 4 of those hatched which is 45 of 60 eggs. so if 1 dove laid 5 eggs, and 4 of those hatched how many doves are there?",probing
hello can you talk me through your answer,generic
i can see you have correctly subtracted 350 from 1000 to get 650 feet. if he had already rode 275 after passing the second sign would you be adding to the 650 feet or subtracting as he has already rode that amount?,probing
"hi, could you please walk me through your solution?",generic
"if i am not wrong, x is the number of cones sold, right?",focus
"hello cody, please can you walk me through your workings?",generic
"great. so we know that there are 45 red candles and a total of 8 in the actual ratio. so now lets look at the equation. we need to find the total number of candles to the total ration. for example if i had a ratio of red candles to blue candles as 3 2 and there were 6 red candles, we would know that there must be a total of 15 candles as 3x5 15. to find the number of blue candles we would divide 15 by 3 to make 5 which leaves us with subtracting 5 from 6 to make 1. can you apply this to our equation?",focus
"hi, could you please walk me through your solution?",generic
look carefully. did you miss out on any of the decorations?,focus
"hi alejandra, thank you for your answer. can you talk me through your solution please?",generic
"you have worked out the earnings of 750 perfectly. well done! now, look again at the question. you have worked out that queenie has 20 of overtime per day. is this correct?",focus
"hi jordy, can you walk me through your workings?",generic
"brilliant. we know that it took the alligator 10 hours in total on it's journey, but we're looking for the combined time of all the alligators. if it took me 1 hour to walk to river x and 1 hour to return, but i returned with 1 other person. what is the total hours combined for my journey and the other person's journey?",probing
"hi emily, can you walk me through your solution?",generic
"excellent, so we know that each company bought 600 square feet of ad space for 60 per square foot making 36,000. if each company bought this what would the total cost be for all three?",probing
"hello hunter, can you talk me through how you solved this??",generic
brilliant so we know that each day john releases 2x2 minute videos and 1x12 minute video. and we know that everyday he release 16 minutes of video footage. if i release 2x4 minute videos every week how many minutes of footage do i release in the 7 day week?,probing
"hello riya, please can you walk me through your solution?",generic
"brilliant, we know that ralph got 20 discount on a 20 dollar item which means he gets 4 dollars off. if i am spending a total of 50 but get 20 of an item for 10, how much discount do i get on my total shop?",probing
hi rishi can you walk me through your workings?,generic
"brilliant, so we know how much sheila will save in 4 years and the extra money her family contributed. great - but now we are missing another quantity of what she had already saved",probing
"hi, could you please walk me through your solution?",generic
that doesn't look to be correct. can you tell how many ounces of water is required for 12 people?,focus
hello michael can you walk me through your workings?,generic
brilliant. this is great. if we are looking for the average number of chocolate pieces which includes chocolate chips and m m's what is he average?,probing
"hello seth, can you walk me through your workings?",generic
"good. he travels at 30 miles initially and has 90 miles left to travel. if he has driven for 0.5 hours out of 1.5 hours, how long does he have left?",probing
"hi, could you please walk me through your solution?",generic
"if two vehicles take different times to complete the same trip, can they have equal speeds?",probing
"hello heidi, please can you explain your workings to me?",generic
okay great. how do we work out how many fish are in the pond in total?,probing
"hello alejandra, can you explain to me your workings?",generic
brilliant. so we know the frog eats 14 flies in a week. she wants to gather enough flies for the frog for the week. how many does she currently have?,probing
"hi, could you please walk me through your solution?",generic
that doesn't seem to be correct. can you tell how many friends did ashely invite actually?,focus
talk me thorugh your calculation,telling
the lady needs 3 cups to make 1 cupcake?,telling
"hi, could you please walk me through your solution?",generic
that does not seem to be correct. could you please tell me how much needs to be paid to the house help after deduction of the medical expense from her salary?,focus
"hi, could you please walk me through your solution?",generic
"that does not seem to be correct. can you please tell if she sells half a dozen for 30, how much would a dozen cost?",focus
"hi, could you please walk me through your solution?",generic
no it does not. why did you assume they need to win 80 of the games? the question mentions nothing as such.,focus
"hi luca, could you please walk me through your solution?",generic
are you sure they use 18 plates a day? did you consider the fact that each one of them uses 2 plates for a meal?,focus
"hi, can you explain your working to me?",generic
think again about how many 1 4 of the remaining eggs is,focus
"hi, can you talk me through your answer?",generic
"ok, let's reread the question to see what it tells us about the third step. can you spot your mistake?",focus
hi michael can you talk me through your working?,generic
look again at the total number of minutes that she watched of the film.,focus
"hi, can you explain your answer?",generic
let's think about what is meant by weekdays. not every day is a weekday. does that help you spot your mistake?,focus
"hi, can you explain your workings?",generic
let's think about how to calculate 60 more than 50. can you work that out?,focus
hi seth can you talk me through your working,generic
think about how many blocks wide and how tall tommy's block area is,focus
hi rishi can you talk me through your working?,generic
remember to include the sunday paper too,focus
"hi, can you talk me through your answer?",generic
let's start with what we know. how many times did the vending machine work normally?,focus
hi brenda can you talk me through your working?,generic
if he wants to ensure that his average doesn't go above 60 minutes per maze what would the total allowed time be?,probing
"hi, can you explain your answer?",generic
"ok, when the cups were shrunk, it just affected their size so there was still the same number of cups. des this help you spot your error?",focus
explain,generic
what is the total number of marks on the test,probing
explain your answer,generic
how much money will lyle have after buying for himself,probing
explain your answer,generic
how do you double,probing
explain your answer,generic
how long will it take cameron,probing
"hi hunter, can you tell me how you got your answer?",generic
"let's try a different strategy to answer. if ms jones got 50 in gift cards, and these were in 10 increments, how many gift cards did she get?",focus
explain your answer,generic
what is the current property tax,probing
"hi ayisha, can you tell me how you got your answer?",generic
"there is a simpler way to figure this out. if the difference in age between the two sisters is only 4 years, it's not possible for rachel to be 40 years old when emily is 20.",focus
"hi heidi, can you tell me how you got your answer?",generic
"okay, so 18 days is how long james will wait to start working out again. but then after those 18 days he won't lift heavy weights for three more weeks",focus
"hi deandre, can you tell me how you got your answer?",generic
"but if you read the question, kiki only has 90, not 100",focus
"hi rishi, can you tell me how you got your answer?",generic
"if max only watched the half hour show on 4 days out of the week, how many hours did he watch?",probing
"hi heidi, can you tell me how you got your answer?",generic
"but matilda had 4 sisters, so there were 5 people total who each got 4 chocolate bars",focus
hi stephanie can you tell me how you got your answer?,generic
"okay. let's look at the question. we need to find out the average number of chocolate pieces in each cookie, so that would include both m and ms and chocolate chips per cookie",focus
"hi ayisha, can you tell me how you got your answer?",generic
"okay, so we know that sammy scored 2 fewer than jen, and jen scored 30. if the math exam has 35 points in all, and sammy scored 28, how many mistakes did he make?",focus
"hi deandre, can you tell me how you got your answer?",generic
