model,error_category,n,dimension,matches,damr
sft,reached_correct_solution_but_proceeded_further,21,actionability,5,23.809523809523807
sft,reached_correct_solution_but_proceeded_further,21,coherence,21,100.0
sft,reached_correct_solution_but_proceeded_further,21,tutor_tone,12,57.14285714285714
sft,reached_correct_solution_but_proceeded_further,21,human_likeness,17,80.95238095238095
sft,unit_conversion_error,15,mistake_identification,8,53.333333333333336
sft,unit_conversion_error,15,mistake_location,7,46.666666666666664
sft,unit_conversion_error,15,revealing_answer,14,93.33333333333333
sft,unit_conversion_error,15,providing_guidance,5,33.33333333333333
sft,unit_conversion_error,15,actionability,6,40.0
sft,unit_conversion_error,15,coherence,11,73.33333333333333
sft,unit_conversion_error,15,tutor_tone,7,46.666666666666664
sft,unit_conversion_error,15,human_likeness,11,73.33333333333333
dpo_01,calculation_error_easily_solved_by_a_calculator,38,mistake_identification,26,68.42105263157895
dpo_01,calculation_error_easily_solved_by_a_calculator,38,mistake_location,23,60.526315789473685
dpo_01,calculation_error_easily_solved_by_a_calculator,38,revealing_answer,26,68.42105263157895
dpo_01,calculation_error_easily_solved_by_a_calculator,38,providing_guidance,8,21.052631578947366
dpo_01,calculation_error_easily_solved_by_a_calculator,38,actionability,8,21.052631578947366
dpo_01,calculation_error_easily_solved_by_a_calculator,38,coherence,36,94.73684210526315
dpo_01,calculation_error_easily_solved_by_a_calculator,38,tutor_tone,8,21.052631578947366
dpo_01,calculation_error_easily_solved_by_a_calculator,38,human_likeness,19,50.0
dpo_01,extra_quantity_or_missing_quantity,71,mistake_identification,42,59.154929577464785
dpo_01,extra_quantity_or_missing_quantity,71,mistake_location,35,49.29577464788733
dpo_01,extra_quantity_or_missing_quantity,71,revealing_answer,47,66.19718309859155
dpo_01,extra_quantity_or_missing_quantity,71,providing_guidance,9,12.676056338028168
dpo_01,extra_quantity_or_missing_quantity,71,actionability,9,12.676056338028168
dpo_01,extra_quantity_or_missing_quantity,71,coherence,63,88.73239436619718
dpo_01,extra_quantity_or_missing_quantity,71,tutor_tone,16,22.535211267605636
dpo_01,extra_quantity_or_missing_quantity,71,human_likeness,30,42.25352112676056
dpo_01,missing_wrong_factual_knowledge,42,mistake_identification,25,59.523809523809526
dpo_01,missing_wrong_factual_knowledge,42,mistake_location,18,42.857142857142854
dpo_01,missing_wrong_factual_knowledge,42,revealing_answer,27,64.28571428571429
dpo_01,missing_wrong_factual_knowledge,42,providing_guidance,4,9.523809523809524
dpo_01,missing_wrong_factual_knowledge,42,actionability,4,9.523809523809524
dpo_01,missing_wrong_factual_knowledge,42,coherence,37,88.09523809523809
dpo_01,missing_wrong_factual_knowledge,42,tutor_tone,8,19.047619047619047
dpo_01,missing_wrong_factual_knowledge,42,human_likeness,20,47.61904761904761
dpo_01,misunderstanding_of_a_question,85,mistake_identification,53,62.35294117647059
dpo_01,misunderstanding_of_a_question,85,mistake_location,40,47.05882352941176
dpo_01,misunderstanding_of_a_question,85,revealing_answer,64,75.29411764705883
dpo_01,misunderstanding_of_a_question,85,providing_guidance,9,10.588235294117647
dpo_01,misunderstanding_of_a_question,85,actionability,9,10.588235294117647
dpo_01,misunderstanding_of_a_question,85,coherence,78,91.76470588235294
dpo_01,misunderstanding_of_a_question,85,tutor_tone,20,23.52941176470588
dpo_01,misunderstanding_of_a_question,85,human_likeness,41,48.23529411764706
dpo_01,none_of_the_above,26,mistake_identification,21,80.76923076923077
dpo_01,none_of_the_above,26,mistake_location,17,65.38461538461539
dpo_01,none_of_the_above,26,revealing_answer,17,65.38461538461539
dpo_01,none_of_the_above,26,providing_guidance,8,30.76923076923077
dpo_01,none_of_the_above,26,actionability,8,30.76923076923077
dpo_01,none_of_the_above,26,coherence,23,88.46153846153845
dpo_01,none_of_the_above,26,tutor_tone,9,34.61538461538461
dpo_01,none_of_the_above,26,human_likeness,16,61.53846153846154
dpo_01,reached_correct_solution_but_proceeded_further,21,mistake_identification,13,61.904761904761905
dpo_01,reached_correct_solution_but_proceeded_further,21,mistake_location,12,57.14285714285714
dpo_01,reached_correct_solution_but_proceeded_further,21,revealing_answer,16,76.19047619047619
dpo_01,reached_correct_solution_but_proceeded_further,21,providing_guidance,4,19.047619047619047
dpo_01,reached_correct_solution_but_proceeded_further,21,actionability,4,19.047619047619047
dpo_01,reached_correct_solution_but_proceeded_further,21,coherence,19,90.47619047619048
dpo_01,reached_correct_solution_but_proceeded_further,21,tutor_tone,8,38.095238095238095
dpo_01,reached_correct_solution_but_proceeded_further,21,human_likeness,11,52.38095238095239
dpo_01,unit_conversion_error,15,mistake_identification,8,53.333333333333336
dpo_01,unit_conversion_error,15,mistake_location,6,40.0
dpo_01,unit_conversion_error,15,revealing_answer,12,80.0
dpo_01,unit_conversion_error,15,providing_guidance,1,6.666666666666667
dpo_01,unit_conversion_error,15,actionability,1,6.666666666666667
dpo_01,unit_conversion_error,15,coherence,15,100.0
dpo_01,unit_conversion_error,15,tutor_tone,5,33.33333333333333
dpo_01,unit_conversion_error,15,human_likeness,7,46.666666666666664
dpo_03,calculation_error_easily_solved_by_a_calculator,38,mistake_identification,24,63.1578947368421
dpo_03,calculation_error_easily_solved_by_a_calculator,38,mistake_location,19,50.0
dpo_03,calculation_error_easily_solved_by_a_calculator,38,revealing_answer,32,84.21052631578947
dpo_03,calculation_error_easily_solved_by_a_calculator,38,providing_guidance,11,28.947368421052634
dpo_03,calculation_error_easily_solved_by_a_calculator,38,actionability,11,28.947368421052634
dpo_03,calculation_error_easily_solved_by_a_calculator,38,coherence,35,92.10526315789474
dpo_03,calculation_error_easily_solved_by_a_calculator,38,tutor_tone,22,57.89473684210527
dpo_03,calculation_error_easily_solved_by_a_calculator,38,human_likeness,29,76.31578947368422
dpo_03,extra_quantity_or_missing_quantity,71,mistake_identification,41,57.74647887323944
dpo_03,extra_quantity_or_missing_quantity,71,mistake_location,32,45.07042253521127
dpo_03,extra_quantity_or_missing_quantity,71,revealing_answer,62,87.32394366197182
dpo_03,extra_quantity_or_missing_quantity,71,providing_guidance,11,15.492957746478872
dpo_03,extra_quantity_or_missing_quantity,71,actionability,15,21.12676056338028
dpo_03,extra_quantity_or_missing_quantity,71,coherence,70,98.59154929577466
dpo_03,extra_quantity_or_missing_quantity,71,tutor_tone,32,45.07042253521127
dpo_03,extra_quantity_or_missing_quantity,71,human_likeness,51,71.83098591549296
dpo_03,missing_wrong_factual_knowledge,42,mistake_identification,29,69.04761904761905
dpo_03,missing_wrong_factual_knowledge,42,mistake_location,21,50.0
dpo_03,missing_wrong_factual_knowledge,42,revealing_answer,35,83.33333333333334
dpo_03,missing_wrong_factual_knowledge,42,providing_guidance,10,23.809523809523807
dpo_03,missing_wrong_factual_knowledge,42,actionability,14,33.33333333333333
dpo_03,missing_wrong_factual_knowledge,42,coherence,41,97.61904761904762
dpo_03,missing_wrong_factual_knowledge,42,tutor_tone,20,47.61904761904761
dpo_03,missing_wrong_factual_knowledge,42,human_likeness,31,73.80952380952381
dpo_03,misunderstanding_of_a_question,85,mistake_identification,55,64.70588235294117
dpo_03,misunderstanding_of_a_question,85,mistake_location,44,51.76470588235295
dpo_03,misunderstanding_of_a_question,85,revealing_answer,78,91.76470588235294
dpo_03,misunderstanding_of_a_question,85,providing_guidance,19,22.35294117647059
dpo_03,misunderstanding_of_a_question,85,actionability,23,27.058823529411764
dpo_03,misunderstanding_of_a_question,85,coherence,82,96.47058823529412
dpo_03,misunderstanding_of_a_question,85,tutor_tone,42,49.411764705882355
dpo_03,misunderstanding_of_a_question,85,human_likeness,61,71.76470588235294
dpo_03,none_of_the_above,26,mistake_identification,19,73.07692307692307
dpo_03,none_of_the_above,26,mistake_location,15,57.692307692307686
dpo_03,none_of_the_above,26,revealing_answer,26,100.0
dpo_03,none_of_the_above,26,providing_guidance,10,38.46153846153847
dpo_03,none_of_the_above,26,actionability,10,38.46153846153847
dpo_03,none_of_the_above,26,coherence,22,84.61538461538461
dpo_03,none_of_the_above,26,tutor_tone,16,61.53846153846154
dpo_03,none_of_the_above,26,human_likeness,20,76.92307692307693
dpo_03,reached_correct_solution_but_proceeded_further,21,mistake_identification,16,76.19047619047619
dpo_03,reached_correct_solution_but_proceeded_further,21,mistake_location,14,66.66666666666666
dpo_03,reached_correct_solution_but_proceeded_further,21,revealing_answer,18,85.71428571428571
dpo_03,reached_correct_solution_but_proceeded_further,21,providing_guidance,4,19.047619047619047
dpo_03,reached_correct_solution_but_proceeded_further,21,actionability,5,23.809523809523807
dpo_03,reached_correct_solution_but_proceeded_further,21,coherence,20,95.23809523809523
dpo_03,reached_correct_solution_but_proceeded_further,21,tutor_tone,8,38.095238095238095
dpo_03,reached_correct_solution_but_proceeded_further,21,human_likeness,13,61.904761904761905
dpo_03,unit_conversion_error,15,mistake_identification,10,66.66666666666666
dpo_03,unit_conversion_error,15,mistake_location,8,53.333333333333336
dpo_03,unit_conversion_error,15,revealing_answer,13,86.66666666666667
dpo_03,unit_conversion_error,15,providing_guidance,3,20.0
dpo_03,unit_conversion_error,15,actionability,3,20.0
dpo_03,unit_conversion_error,15,coherence,14,93.33333333333333
dpo_03,unit_conversion_error,15,tutor_tone,8,53.333333333333336
dpo_03,unit_conversion_error,15,human_likeness,12,80.0
dpo_05,calculation_error_easily_solved_by_a_calculator,38,mistake_identification,32,84.21052631578947
dpo_05,calculation_error_easily_solved_by_a_calculator,38,mistake_location,27,71.05263157894737
dpo_05,calculation_error_easily_solved_by_a_calculator,38,revealing_answer,27,71.05263157894737
dpo_05,calculation_error_easily_solved_by_a_calculator,38,providing_guidance,10,26.31578947368421
dpo_05,calculation_error_easily_solved_by_a_calculator,38,actionability,11,28.947368421052634
dpo_05,calculation_error_easily_solved_by_a_calculator,38,coherence,36,94.73684210526315
dpo_05,calculation_error_easily_solved_by_a_calculator,38,tutor_tone,13,34.21052631578947
dpo_05,calculation_error_easily_solved_by_a_calculator,38,human_likeness,24,63.1578947368421
dpo_05,extra_quantity_or_missing_quantity,71,mistake_identification,53,74.64788732394366
dpo_05,extra_quantity_or_missing_quantity,71,mistake_location,41,57.74647887323944
dpo_05,extra_quantity_or_missing_quantity,71,revealing_answer,58,81.69014084507043
dpo_05,extra_quantity_or_missing_quantity,71,providing_guidance,17,23.943661971830984
dpo_05,extra_quantity_or_missing_quantity,71,actionability,18,25.352112676056336
dpo_05,extra_quantity_or_missing_quantity,71,coherence,70,98.59154929577466
dpo_05,extra_quantity_or_missing_quantity,71,tutor_tone,25,35.2112676056338
dpo_05,extra_quantity_or_missing_quantity,71,human_likeness,43,60.56338028169014
dpo_05,missing_wrong_factual_knowledge,42,mistake_identification,33,78.57142857142857
dpo_05,missing_wrong_factual_knowledge,42,mistake_location,29,69.04761904761905
dpo_05,missing_wrong_factual_knowledge,42,revealing_answer,33,78.57142857142857
dpo_05,missing_wrong_factual_knowledge,42,providing_guidance,14,33.33333333333333
dpo_05,missing_wrong_factual_knowledge,42,actionability,14,33.33333333333333
dpo_05,missing_wrong_factual_knowledge,42,coherence,39,92.85714285714286
dpo_05,missing_wrong_factual_knowledge,42,tutor_tone,17,40.476190476190474
dpo_05,missing_wrong_factual_knowledge,42,human_likeness,25,59.523809523809526
dpo_05,misunderstanding_of_a_question,85,mistake_identification,74,87.05882352941177
dpo_05,misunderstanding_of_a_question,85,mistake_location,59,69.41176470588235
dpo_05,misunderstanding_of_a_question,85,revealing_answer,70,82.35294117647058
dpo_05,misunderstanding_of_a_question,85,providing_guidance,22,25.882352941176475
dpo_05,misunderstanding_of_a_question,85,actionability,24,28.235294117647058
dpo_05,misunderstanding_of_a_question,85,coherence,82,96.47058823529412
dpo_05,misunderstanding_of_a_question,85,tutor_tone,28,32.94117647058823
dpo_05,misunderstanding_of_a_question,85,human_likeness,53,62.35294117647059
dpo_05,none_of_the_above,26,mistake_identification,24,92.3076923076923
dpo_05,none_of_the_above,26,mistake_location,20,76.92307692307693
dpo_05,none_of_the_above,26,revealing_answer,21,80.76923076923077
dpo_05,none_of_the_above,26,providing_guidance,6,23.076923076923077
dpo_05,none_of_the_above,26,actionability,7,26.923076923076923
dpo_05,none_of_the_above,26,coherence,25,96.15384615384616
dpo_05,none_of_the_above,26,tutor_tone,9,34.61538461538461
dpo_05,none_of_the_above,26,human_likeness,18,69.23076923076923
dpo_05,reached_correct_solution_but_proceeded_further,21,mistake_identification,20,95.23809523809523
dpo_05,reached_correct_solution_but_proceeded_further,21,mistake_location,18,85.71428571428571
dpo_05,reached_correct_solution_but_proceeded_further,21,revealing_answer,18,85.71428571428571
dpo_05,reached_correct_solution_but_proceeded_further,21,providing_guidance,9,42.857142857142854
dpo_05,reached_correct_solution_but_proceeded_further,21,actionability,9,42.857142857142854
dpo_05,reached_correct_solution_but_proceeded_further,21,coherence,20,95.23809523809523
dpo_05,reached_correct_solution_but_proceeded_further,21,tutor_tone,9,42.857142857142854
dpo_05,reached_correct_solution_but_proceeded_further,21,human_likeness,17,80.95238095238095
dpo_05,unit_conversion_error,15,mistake_identification,14,93.33333333333333
dpo_05,unit_conversion_error,15,mistake_location,11,73.33333333333333
dpo_05,unit_conversion_error,15,revealing_answer,14,93.33333333333333
dpo_05,unit_conversion_error,15,providing_guidance,3,20.0
dpo_05,unit_conversion_error,15,actionability,3,20.0
dpo_05,unit_conversion_error,15,coherence,15,100.0
dpo_05,unit_conversion_error,15,tutor_tone,3,20.0
dpo_05,unit_conversion_error,15,human_likeness,6,40.0
